"Rank","Name","Team","Pos","Pos","Avg","Sleeper","ESPN","Yahoo","Underdog"
"[object Object]","Dalton Schultz","HOU","TE","TE","14.11","18.05","14.12","11.08","14.06"
"[object Object]","Cyrus Allen","KC","WR","WR","14.11","-","15.01","-","14.09"
"[object Object]","Tre Tucker","LV","WR","WR","15.03","16.10","14.12","-","13.09"
"[object Object]","Bryce Young","CAR","QB","QB","15.04","20.05","15.01","11.02","14.10"
"[object Object]","Tank Dell","HOU","WR","WR","15.05","16.04","14.01","-","15.09"
"[object Object]","Malik Washington","MIA","WR","WR","15.05","-","-","-","15.05"
"[object Object]","Caleb Douglas","MIA","WR","WR","15.07","-","15.01","-","15.12"
"[object Object]","Cooper Kupp","SEA","WR","WR","15.09","18.01","15.01","11.01","18.08"
"[object Object]","Isaac TeSlaa","DET","WR","WR","16.01","19.03","-","11.05","17.06"
"[object Object]","Dylan Sampson","CLE","RB","RB","16.01","16.11","-","-","15.04"
"[object Object]","David Njoku","LAC","TE","TE","16.04","20.02","15.02","11.05","18.07"
"[object Object]","James Conner","ARI","RB","RB","16.08","19.07","-","11.06","18.11"
"[object Object]","Tre' Harris","LAC","WR","WR","16.10","19.03","-","-","14.05"
"[object Object]","Braelon Allen","NYJ","RB","RB","16.10","17.01","-","-","16.07"
"[object Object]","Geno Smith","NYJ","QB","QB","16.11","-","-","-","16.11"
"[object Object]","Pat Bryant","DEN","WR","WR","16.12","18.08","-","-","15.04"
"[object Object]","Darnell Washington","PIT","TE","TE","17.01","-","15.02","-","18.12"
"[object Object]","Carson Beck","ARI","QB","QB","17.01","-","15.02","-","18.11"
"[object Object]","Kirk Cousins","LV","QB","QB","17.01","-","15.02","-","18.11"
"[object Object]","Dawson Knox","BUF","TE","TE","17.01","-","15.02","-","18.12"
"[object Object]","Cole Kmet","CHI","TE","TE","17.01","-","15.02","-","18.12"
"[object Object]","Elijah Arroyo","SEA","TE","TE","17.01","-","15.02","-","18.12"
"[object Object]","Zavion Thomas","CHI","WR","WR","17.01","-","15.02","-","18.12"
"[object Object]","Noah Gray","KC","TE","TE","17.01","-","15.02","-","18.12"
"[object Object]","Ja'Tavion Sanders","CAR","TE","TE","17.01","-","15.02","-","18.12"
"[object Object]","Mack Hollins","NE","WR","WR","17.01","-","15.02","-","18.12"
"[object Object]","Tommy Tremble","CAR","TE","TE","17.01","-","15.02","-","18.12"
"[object Object]","Luke Musgrave","GB","TE","TE","17.01","-","15.02","-","18.12"
"[object Object]","Jordan Whittington","LAR","WR","WR","17.01","-","15.02","-","18.12"
"[object Object]","Jerry Jeudy","CLE","WR","WR","17.03","19.01","14.10","-","17.10"
"[object Object]","Kaelon Black","SF","RB","RB","17.04","-","-","-","17.04"
"[object Object]","Adonai Mitchell","NYJ","WR","WR","17.04","19.05","-","-","15.03"
"[object Object]","Emmett Johnson","KC","RB","RB","17.04","17.07","-","-","17.01"
"[object Object]","Jaydon Blue","DAL","RB","RB","17.04","18.10","-","-","15.09"
"[object Object]","Malachi Fields","NYG","WR","WR","17.06","19.12","15.02","-","17.03"
"[object Object]","Ray Davis","BUF","RB","RB","17.07","18.05","-","-","16.08"
"[object Object]","Nicholas Singleton","TEN","RB","RB","17.12","17.05","-","-","18.07"
"[object Object]","Zachariah Branch","ATL","WR","WR","18.01","18.11","-","-","17.02"
"[object Object]","Ryan Flournoy","DAL","WR","WR","18.02","21.01","-","-","15.02"
"[object Object]","Calvin Ridley","TEN","WR","WR","18.03","21.11","14.12","-","17.11"
"[object Object]","Darren Waller","CAR","TE","TE","18.04","-","-","-","18.04"
"[object Object]","Eli Stowers","PHI","TE","TE","18.07","21.09","15.02","-","18.11"
"[object Object]","Charlie Kolar","LAC","TE","TE","18.07","-","-","-","18.07"
"[object Object]","Evan Engram","DEN","TE","TE","18.10","-","-","-","18.10"
"[object Object]","Justice Hill","BAL","RB","RB","18.10","-","-","-","18.10"
"[object Object]","George Holani","SEA","RB","RB","18.10","-","-","-","18.10"
"[object Object]","Jordan James","SF","RB","RB","18.10","-","-","-","18.10"
"[object Object]","Xavier Hutchinson","HOU","WR","WR","18.10","-","-","-","18.10"
"[object Object]","Mike Gesicki","CIN","TE","TE","18.11","-","-","-","18.11"
"[object Object]","Samaje Perine","CIN","RB","RB","18.11","-","-","-","18.11"
"[object Object]","Michael Mayer","LV","TE","TE","18.11","-","-","-","18.11"
"[object Object]","Tyquan Thornton","KC","WR","WR","18.11","-","-","-","18.11"
"[object Object]","Deshaun Watson","CLE","QB","QB","18.11","-","-","-","18.11"
"[object Object]","DeMario Douglas","NE","WR","WR","18.11","-","-","-","18.11"
"[object Object]","Bryce Lance","NO","WR","WR","18.11","-","-","-","18.11"
"[object Object]","Andrei Iosivas","CIN","WR","WR","18.12","-","-","-","18.12"
"[object Object]","Xavier Legette","CAR","WR","WR","18.12","-","-","-","18.12"
"[object Object]","Malik Benson","LV","WR","WR","18.12","-","-","-","18.12"
"[object Object]","Darius Slayton","NYG","WR","WR","18.12","-","-","-","18.12"
"[object Object]","Jahan Dotson","ATL","WR","WR","18.12","-","-","-","18.12"
"[object Object]","Adam Randall","BAL","RB","RB","18.12","-","-","-","18.12"
"[object Object]","Kalif Raymond","CHI","WR","WR","18.12","-","-","-","18.12"
"[object Object]","Kendrick Bourne","ARI","WR","WR","18.12","-","-","-","18.12"
"[object Object]","Devin Singletary","NYG","RB","RB","18.12","-","-","-","18.12"
"[object Object]","Hollywood Brown","PHI","WR","WR","18.12","-","-","-","18.12"
"[object Object]","Jalen Tolbert","MIA","WR","WR","18.12","-","-","-","18.12"
"[object Object]","DJ Giddens","IND","RB","RB","18.12","-","-","-","18.12"
"[object Object]","Ollie Gordon II","MIA","RB","RB","18.12","-","-","-","18.12"
"[object Object]","LeQuint Allen Jr.","JAX","RB","RB","18.12","-","-","-","18.12"
"[object Object]","Skyler Bell","BUF","WR","WR","18.12","-","-","-","18.12"
"[object Object]","Brenen Thompson","LAC","WR","WR","18.12","-","-","-","18.12"
"[object Object]","Noah Fant","NO","TE","TE","18.12","-","-","-","18.12"
"[object Object]","Ty Johnson","BUF","RB","RB","18.12","-","-","-","18.12"
"[object Object]","Olamide Zaccheaus","ATL","WR","WR","18.12","-","-","-","18.12"
"[object Object]","AJ Dillon","CAR","RB","RB","18.12","-","-","-","18.12"
"[object Object]","Calvin Austin III","NYG","WR","WR","18.12","-","-","-","18.12"
"[object Object]","Tutu Atwell","MIA","WR","WR","18.12","-","-","-","18.12"
"[object Object]","Treylon Burks","WAS","WR","WR","18.12","-","-","-","18.12"
"[object Object]","Chris Brooks","GB","RB","RB","18.12","-","-","-","18.12"
"[object Object]","Jerome Ford","","RB","RB","18.12","-","-","-","18.12"
"[object Object]","Cedric Tillman","CLE","WR","WR","18.12","-","-","-","18.12"
"[object Object]","Emari Demercado","KC","RB","RB","18.12","-","-","-","18.12"
"[object Object]","Devontez Walker","BAL","WR","WR","18.12","-","-","-","18.12"
"[object Object]","Ben Sinnott","WAS","TE","TE","18.12","-","-","-","18.12"
"[object Object]","Roman Wilson","PIT","WR","WR","18.12","-","-","-","18.12"
"[object Object]","Isaiah Davis","NYJ","RB","RB","18.12","-","-","-","18.12"
"[object Object]","Will Shipley","PHI","RB","RB","18.12","-","-","-","18.12"
"[object Object]","Tez Johnson","TB","WR","WR","18.12","-","-","-","18.12"
"[object Object]","Trevor Etienne","CAR","RB","RB","18.12","-","-","-","18.12"
"[object Object]","Tahj Brooks","CIN","RB","RB","18.12","-","-","-","18.12"
"[object Object]","Oscar Delp","NO","TE","TE","18.12","-","-","-","18.12"
"[object Object]","Jaylin Lane","WAS","WR","WR","18.12","-","-","-","18.12"
"[object Object]","Justin Joly","DEN","TE","TE","18.12","-","-","-","18.12"
"[object Object]","Nate Boerkircher","JAX","TE","TE","18.12","-","-","-","18.12"
"[object Object]","Gunnar Helm","TEN","TE","TE","19.01","20.09","-","-","17.04"
"[object Object]","Kayshon Boutte","HOU","WR","WR","19.03","20.10","-","-","17.08"
"[object Object]","Ted Hurst III","TB","WR","WR","19.04","20.09","-","-","17.10"
"[object Object]","Cade Otton","TB","TE","TE","19.05","21.07","-","-","17.03"
"[object Object]","Kaytron Allen","WAS","RB","RB","19.08","20.07","-","-","18.10"
"[object Object]","Chris Bell","MIA","WR","WR","19.09","21.02","-","-","18.03"
"[object Object]","Kimani Vidal","LAC","RB","RB","19.09","20.12","-","-","18.07"
"[object Object]","Jacoby Brissett","ARI","QB","QB","19.09","21.11","-","-","17.08"
"[object Object]","Germie Bernard","PIT","WR","WR","19.10","21.05","-","-","18.03"
"[object Object]","Keon Coleman","BUF","WR","WR","19.11","21.02","-","-","18.08"
"[object Object]","Sean Tucker","TB","RB","RB","19.12","21.10","-","-","18.02"
"[object Object]","Demond Claiborne","MIN","RB","RB","19.12","21.01","-","-","18.11"
"[object Object]","Jaylen Wright","MIA","RB","RB","20.02","21.04","-","-","18.12"
"[object Object]","Antonio Williams","WAS","WR","WR","20.03","21.07","-","-","18.11"
"[object Object]","Jake Tonges","SF","TE","TE","20.06","22.01","-","-","18.12"
"[object Object]","Tua Tagovailoa","ATL","QB","QB","20.08","22.06","-","-","18.09"
"[object Object]","Darnell Mooney","NYG","WR","WR","20.09","22.07","-","-","18.11"
"[object Object]","Colby Parkinson","LAR","TE","TE","20.10","22.10","-","-","18.09"
